parallax,spect_type  ,vmag ,bv_color
9.44,F6III       ,7.24,0.506
7.4,K4III       ,5.04,1.491
4.35,A7V         ,8.97,0.332
4.51,F3V         ,10,0.492
9.04,F3V         ,7.79,0.422
13.78,G2V         ,8.17,0.649
1.76,Fp          ,12.08,        
8.1,F6V         ,7.82,0.502
15.58,F5V         ,7.8,0.491
14.82,G0V         ,8.42,0.59
1.38,A2m...      ,9.74,0.39
8.85,G0V         ,9.01,0.62
2.96,K1III       ,8.39,1.131
6.82,F7V         ,8.97,0.556
2.95,M4III       ,7.89,1.517
4.58,B9IV        ,7.83,0
18.2,G6V         ,8.58,0.748
2.02,K1/K2III:   ,8.74,1.334
10.92,F8/G0V      ,9.04,0.527
2.79,K2III       ,8.88,1.164
3.39,A2/A3V      ,8.33,0.127
3.61,A0V         ,7.25,0.026
13.39,F8V         ,8.39,0.574
14.52,G6V         ,8.69,0.705
4.35,Ap...       ,8.24,0.06
3.06,A7III       ,8.09,0.252
14.09,F8V         ,8.24,0.523
3.39,F6/F7V      ,9.6,0.628
9.78,K0III/IV    ,6.94,1.001
4.03,G8III       ,7.78,0.983
2.66,K0III       ,8.72,0.971
0.19,M3III       ,8.32,1.515
3.16,A3V         ,8.48,0.144
2.76,K1III       ,8.86,1.149
6.05,K2III+...   ,6.57,0.895
1.86,K0/K1III    ,8.68,1.182
2.87,K1III       ,8.56,1.182
8.25,A4V         ,7.92,0.154
5.77,F7V         ,9.05,0.529
0.95,G8III       ,8.93,1.025
32.43,K4III       ,5.18,1.13
1.94,            ,9.95,1.331
6.24,A9IV        ,8.08,0.309
9.39,F3V         ,8.33,0.42
9.61,G0V         ,9.44,0.528
-0.39,K4/K5V:     ,8.91,1.576
5.63,F2/F3III    ,6.72,0.394
6.31,K2III       ,6.29,1.205
9.89,F8IV-V      ,7.74,0.513
2.92,G8III/IV    ,8.64,0.94
3.97,G6III/IV    ,8.36,1.15
5.43,F3IV:       ,9.47,0.491
1.29,F3/F5V:     ,10.36,0.53
8.96,F3V         ,8.51,0.463
2.67,K5          ,9.23,1.261
3.59,A3mA6-A7    ,9.22,0.503
1.63,G6II+...    ,6.93,1.028
37.5,K2V         ,8.33,0.913
3.89,K1III       ,7.45,1.136
9.36,G6V         ,9.56,0.76
9.93,F8V         ,8.23,0.549
16.97,G2V         ,8.19,0.631
6.35,F5V         ,7.81,0.446
1.49,F0IV        ,10.1,0.28
4.95,A1IV        ,8.28,0.265
3.88,K2/K3IIICN. ,7.42,1.373
11.67,A2IV        ,6.68,0.151
17.67,G0IV/V      ,6.93,0.532
2.12,K0III       ,9.13,1.28
3.46,K1III       ,6.57,1.229
7.42,G8III       ,6.68,0.984
16.06,G8/K0V + A/F,9.19,0.726
6.05,K1III       ,7.47,1.097
1.26,K4III       ,8.02,1.416
3.12,G8III       ,7.72,0.931
2.48,            ,10.07,0.564
4.48,G8III       ,7.38,1.062
9.41,G6V         ,9.74,0.74
12.76,G5V         ,9.4,0.725
15.4,K0V         ,9.86,0.683
9.68,F4III-IV    ,5.99,0.45
4.73,A1V         ,7.98,0.034
5.48,K2III       ,6.08,1.205
3.21,G6III       ,8.8,0.976
1.26,B9V         ,9.54,0.07
2.73,K2II        ,8.55,1.217
4.63,A2IIIs      ,9.25,0.362
1.48,Ap Si       ,9.94,0.178
1.37,A2m...      ,9.48,0.294
3.39,K3III       ,8,1.356
9.38,F8IV/V      ,7.57,0.507
2.31,F2IV        ,9.42,0.436
3.31,K1III       ,8.76,1.205
        ,M0          ,10.33,0.914
6.11,B6IV/V      ,7.68,0.152
15.96,G5V         ,9.31,0.71
4.39,A9IV        ,9.15,0.343
5.3,F3/F5IV     ,8.4,0.5
16.2,F3III       ,5.94,0.399
10.8,K0III       ,6.13,1.001
7.99,K1III       ,7.75,1.114
3.39,G5V         ,9.31,0.724
3.07,F7V         ,9.65,0.583
0.03,K3III:      ,8.75,1.459
5.43,G3V         ,8.69,0.656
10.48,G3V         ,9.52,0.642
2.03,M2III       ,8.39,1.625
2.7,G5          ,9.13,0.96
5.07,K2III       ,8.47,1.169
2.36,K0III       ,8.57,1.081
14.32,G0V         ,8.94,0.565
3.05,M3III       ,7.28,1.688
3.27,B9.5V       ,8.79,0.109
8.65,B9V         ,5.95,-0.034
5.94,Fm...       ,7.86,0.432
9.32,G5/G6V      ,9.88,0.728
4.92,A5IV        ,9.05,0.281
2.89,A2III/IV    ,9.11,0.215
8.58,F8V         ,9.22,0.526
7.15,F6IV/V      ,9.3,0.461
3.96,K4III       ,6.77,1.68
0.35,Fp          ,12.02,        
7.94,K0III       ,7.15,0.996
2.5,K3III       ,7.67,1.386
3.42,G8III       ,9.01,1.068
7.77,K2IV        ,8.41,1.01
2.88,K0III       ,8.11,1.209
4.36,M3/M4       ,9.21,1.648
        ,            ,9.18,        
10.82,Kp          ,11.15,1.208
4.8,F0IV        ,8.68,0.524
4.76,A8m         ,8.09,0.249
2.03,K3III       ,8.08,1.534
0,Gp          ,11.64,        
2.68,B9.5V       ,8.88,0.127
0.84,K4          ,9.03,1.52
9.21,F5V         ,8.48,0.511
3.1,K0III       ,8.75,1.098
6.35,            ,10.3,0.1
0.99,B9IV        ,9.14,0.007
10.8,F8V         ,7.78,0.583
2.31,K4III       ,6.86,1.551
6.23,A9III/IV    ,8.63,0.294
4.52,K2III       ,6.89,1.208
4.22,A2m...      ,7.68,0.264
3.51,K0          ,8.31,0.962
4.11,B9.5V       ,8.5,0.234
6.16,F3IV        ,7.8,0.416
0.59,C+          ,8.39,3.81
5.35,A3V         ,8.82,0.24
        ,Kp          ,10.01,        
5.23,F3V         ,9.38,0.478
3.76,A8III       ,7.9,0.327
4.63,G8/K0III    ,6.49,0.983
7.74,G2/G3V      ,9.22,0.677
5.71,F7IV:+...   ,8.68,0.69
1.94,K1III+...   ,8.43,0.918
3.03,Ap Si       ,9.42,-0.044
23.75,F1III       ,5.64,0.362
10.43,F8V         ,8.75,0.492
3.55,M0III       ,7.35,1.526
13.39,F5V         ,6.86,0.45
12.88,K3III       ,5.86,1.253
4.7,A9IV/V      ,9.04,0.276
3.07,B8III       ,6.68,0.087
8.47,K2IIICN...  ,6.54,1.182
1.81,K3III       ,7.64,1.556
6.67,Fm...       ,8.39,0.315
14.28,F8V         ,7.49,0.539
5.48,G5V         ,9.19,0.701
1.82,K0          ,11.42,1.04
7.37,F3IV/V      ,8.45,0.446
2.6,K2/K3III    ,8.13,1.317
3.87,K0III       ,7.9,1.025
9.37,F2III       ,7.86,0.362
6,F2V         ,9.17,0.431
1.78,K5III       ,7.37,1.728
4.55,G8/K0III    ,7.46,1.011
16.18,G1V         ,8.49,0.614
3,K0          ,8.67,1.333
9.67,G0IV/V      ,8.05,0.609
8.72,G1V         ,8.87,0.592
5.44,F3/F5V      ,8.61,0.468
6.01,A9III       ,7.99,0.34
2.79,M1III       ,7.24,1.58
1.64,K0III       ,9.24,1.11
3.38,A3IV        ,6.61,0.169
2.47,G8/K0III:   ,9.05,1.057
5.2,K0III       ,7.42,1.187
2.56,A3m...      ,7.68,0.326
14,M0          ,10.49,1.121
5.32,F6IV/V      ,7.89,0.546
10.27,C6II        ,9.52,0.735
3.06,Ap...       ,8.12,0.008
21.15,F5V         ,6.8,0.483
4.03,G6III       ,7.84,0.943
-0.35,Gp          ,12.02,        
6.48,K2III/IVCN. ,7.68,1.192
7.96,A7/A8III/IV ,7.85,0.262
4.55,K0III       ,7.1,1.131
4.19,K4          ,9.19,1.363
6.44,F0V         ,9.28,0.395
1.1,M2III       ,7.61,1.777
2.65,G8III/IV    ,8.5,1.068
2.32,K0III       ,9.66,1.054
8.65,G8IV/V      ,8.44,0.856
2.64,B9.5V       ,7.41,0.048
3.16,G8/K0       ,9.83,1.183
4.75,K1IIICNIV   ,7.9,1.073
8.29,F5V         ,8.6,0.45
6.96,F3V         ,8.31,0.465
28.14,F8V         ,7.17,0.538
6.36,A6V         ,7.82,0.226
3.17,K4III       ,7.71,1.619
3.51,B8IV        ,6.32,-0.003
2.82,A0V         ,8.85,0.083
10.95,G3IV        ,8.21,0.681
4.87,K2III       ,9.08,1.099
1.72,G0II/III    ,7.99,0.701
14.6,G0V         ,8.3,0.619
5.67,K3III       ,6.67,1.439
1.81,K0III       ,8.53,1.119
2.97,K1IIICN...  ,8.33,1.143
4.1,G8/K0III    ,7.9,1.053
1.28,B1Vn        ,9.52,-0.07
2.02,B3V         ,8.16,-0.127
3.65,F7IV        ,8.43,0.616
0.87,K0          ,9.17,1.018
1.8,B8V         ,8.57,0.013
1.76,A9IV/V      ,9.35,0.445
2.33,K0III       ,8.89,1.213
0.57,Ap...       ,9.62,0.144
1.77,G8/K0III    ,9.34,1.18
9.09,G0V         ,8.78,0.564
16.57,F5V         ,7.3,0.458
7.79,F7/F8V:     ,9.38,0.657
98.43,M...        ,9.99,1.466
114.18,            ,10.35,        
119.54,            ,11.41,        
3.31,K3III       ,8.87,1.384
3.4,G6/G8III/IV ,9.1,1.057
4.97,A0/A1V      ,7.54,0.06
2.78,K3/K4III    ,8.01,1.52
2.63,G6III       ,8.28,0.912
6.02,A2m...      ,7.98,0.188
3.92,K0III       ,7.95,1.059
2.83,G3wp        ,8.78,0.709
1.43,K3III       ,7.47,1.505
5.6,F5V         ,8.8,0.458
1.7,G8III       ,9.19,1.063
3.32,B9V         ,7.99,0.086
2.76,B9.5IV      ,7.71,0.051
3.32,K2/K3IIICN. ,7.63,1.242
25.78,G8V         ,8.41,0.74
7.24,K1III       ,7.19,1.114
11.37,G1V         ,8.43,0.547
4.27,B9V         ,7.12,0.003
2.68,K3III       ,7.63,1.407
15.64,G5/G6V      ,8.98,0.691
18.53,F7V         ,7.32,0.539
6.91,F8V         ,9.12,0.524
0.36,B9IV        ,8.85,0.038
9.9,F5IV/V      ,8.69,0.428
5.89,F5V         ,9.13,0.614
29.21,G5V         ,7.88,0.687
8.64,            ,11.4,1.082
3.63,K5          ,9.89,1.023
4.54,B9.5IV      ,8,0.036
4.62,A0V         ,8.27,0.215
10.51,G8IV        ,8.72,0.841
12.23,F8/G0V      ,9.55,0.597
2.05,K4III       ,7.49,1.6
7.1,F0V         ,8.73,0.407
2.69,B9IV        ,6.85,0.126
5.33,G6III       ,6.92,0.915
16.91,G2V         ,8.39,0.641
116.02,K           ,10.42,1.485
1.71,B9.5IV      ,8.53,0.064
3.56,G2III       ,8.23,0.804
7.68,F6V         ,9.55,0.516
5.71,F2V         ,9.69,0.459
10.47,F3IV/V      ,7.78,0.405
2.6,F0III       ,8.49,0.364
1.12,K5/M0III    ,8.17,1.586
1.8,K2III       ,8.37,1.435
6.41,            ,10.08,0.492
4.35,A9/F0IV     ,8.35,0.276
-3.36,Fp          ,12.97,        
6.27,A3V         ,7.31,0.098
-1.41,K4V         ,9.34,1.101
5.7,F5IV/V      ,8.74,0.468
14.88,G2V         ,8.32,0.622
2.31,K1/K2III    ,8.71,1.36
3.21,B9IV/V      ,8.93,-0.029
2.45,G8III       ,9.16,0.95
3.63,B9V         ,7.51,0.088
10.64,G0V         ,8.02,0.55
20.59,Kp          ,11.15,1.184
5.12,K2III       ,6.7,1.28
15.16,K0V         ,9.47,0.76
0.98,B9V         ,9,0.155
2.58,Ap...       ,8.08,0.029
3.23,G8IIICN...  ,8.61,0.945
3.99,K2/K3III    ,8.81,1.405
12.56,F3V         ,7.3,0.45
4.18,F7V         ,8.95,0.358
4.24,B8Vn        ,6.46,0.098
22.11,            ,10.13,1.065
7.45,K2II/III    ,5.17,1.278
1.69,K3III       ,7.47,1.375
6.37,K2III/IVCN. ,7.85,1.095
8.42,A2V         ,6.81,0.118
22.95,G1V         ,6.51,0.62
12.05,F8/G0V      ,8.23,0.535
35.85,G2V         ,7,0.607
8.61,A1V         ,6.61,0.032
25.35,G5V         ,7.18,0.64
3.5,F7V:        ,9.93,0.522
4.12,Fm...       ,8.48,0.42
10.61,F6V         ,8.29,0.497
16.52,F6V         ,7.72,0.503
3.78,B9.5V       ,8.42,0.015
8.2,F5V         ,8.45,0.443
-2.89,Fp          ,11.41,0.374
3.45,K0III       ,9.27,1.065
-2.23,B2III       ,10.31,-0.022
2.49,M0/M1III    ,8.23,1.635
3.62,K0III       ,7.97,1.116
6.69,F5V         ,8.62,0.443
4.07,K0III       ,8.25,1.136
11.95,G0IV/V      ,8.64,0.568
5.14,A7V         ,7.89,0.256
4.14,G8III       ,8.52,1.036
2.21,M1III       ,8.47,1.746
27.03,K2V         ,8.94,0.966
3.43,K1IIIp      ,8.06,1.076
12.4,G1/G2V      ,8.94,0.618
2.15,B9.5V       ,8.97,0.082
19.96,G8/K0V:     ,9.42,0.837
9.67,Gp          ,12.47,        
5.47,K3III       ,9.05,1.171
19.21,G2V         ,8.14,0.642
3.51,B9/B9.5V    ,8.09,-0.031
2.66,K2IIICN...  ,8.33,1.182
1.85,B8V         ,8.61,0.146
1.89,G8/K0III    ,8.95,1.01
1.25,M3/M4III    ,8.25,1.611
2.97,G6III       ,9.27,1.012
29.08,G1V         ,6.48,0.528
5.33,A1m...      ,9.11,0.237
3.02,B8V         ,8.53,0.163
4.44,A1m...      ,8.99,0.203
3.68,A0IV/V      ,8.09,0.094
15.04,F7/F8V      ,8.4,0.516
3.22,K2III       ,7.35,1.273
17.32,G5V         ,8.91,0.659
3.46,K0III       ,7.66,1.033
1.47,Gp          ,9.74,1.15
19.14,F8V         ,7.85,0.558
2.54,A0V         ,8.71,0.102
2.12,A0V         ,7.71,0.016
3.97,A5V:        ,8.4,0.387
10.06,G5          ,10.19,0.685
5.96,F7/F8V      ,9.3,0.609
5.2,B9/B9.5V    ,7.72,0.059
9.44,K0          ,12.11,1.07
5.65,F5V         ,8.52,0.463
2.87,F0III       ,7.73,0.312
2.25,K3IIICN...  ,6.98,1.503
1.29,M3III       ,8.88,1.662
9.74,G0V         ,9.18,0.61
7.52,G8/K0III/IV ,8.4,0.842
10.47,A4V         ,6.75,0.169
7.35,Ap...       ,6.9,0.118
1.28,A0IV        ,10.02,0.071
7.58,Fm...       ,7.8,0.296
4.43,K3III       ,9.26,1.278
1.98,A0/A1V      ,9.68,0.184
6.13,B9.5/A0V    ,6.26,-0.016
49.15,G5V         ,6.73,0.707
7.06,F3IV/V      ,8.62,0.431
7.96,F6/F7IV     ,8,0.546
2.58,A9/F0V      ,8.56,0.359
2.63,G8IV        ,8.76,0.982
0.31,K2Ib/II     ,8.18,1.53
1.83,A0V+...     ,6.9,0.461
13.93,            ,9.85,0.888
2.82,K3III       ,7.27,1.564
1.81,G6/G8IV     ,9.12,0.995
1.39,K1II        ,6.16,1.531
12.1,G5          ,9.55,0.728
1.3,K2III:      ,9.08,1.497
5.08,G5III/IV    ,7.33,0.953
        ,            ,12.58,        
1.4,K5III       ,8.21,1.543
3.21,B9V         ,8.68,0.271
9.92,K3III       ,4.76,1.337
2.53,K3III       ,7.51,1.315
3.26,A1V         ,8.23,0.031
2.22,A0IV        ,8.37,0.077
3.94,K0/K1III    ,8.04,1.115
41.37,            ,10.51,1.02
16.59,A0V         ,5.47,0.043
1.46,M2III       ,7.58,1.692
3.45,A0IV/V      ,8.28,0.02
7.36,F7V         ,8.4,0.508
2.73,Ap...       ,9.42,0.332
6.16,B9V         ,6.2,-0.038
2.22,K1III       ,8.4,1.193
5.82,G8III       ,8.42,1.206
4.4,A2m...      ,9.34,0.416
1.49,B9.5V       ,9.19,0.017
13.96,G0V         ,8.05,0.6
43.39,G3IV        ,6.12,0.599
6.21,A2V         ,7.81,0.155
60.24,            ,9.35,1.12
8.21,A3m...      ,8.4,0.264
7.19,A2V         ,7.64,0.122
-2.92,            ,12.61,        
-18.41,Gp          ,12.33,        
5.84,A8/A9III    ,8.31,0.301
        ,            ,12.51,        
4.13,A3IVs...    ,8.46,0.311
3.26,K0IIICN...  ,7.76,1.084
3.63,G8III       ,8.47,1.073
7.25,F6/F7V      ,8.62,0.506
8.59,F6IV/V      ,8.09,0.454
3.19,K5          ,11.2,1.36
6.92,F3V         ,8.94,0.434
6.01,K0/K1III    ,8.97,1.079
3.38,M3III       ,7.3,1.645
13.44,G0Vw...     ,9.11,0.556
5.57,A0V         ,7.41,-0.035
2.99,F5V         ,8.92,0.546
3.66,K1/K2III    ,8.83,1.208
1.99,K0III       ,8.95,1.008
3.84,A0V         ,9.05,0.037
5.07,K1III       ,8.47,1.26
4.58,K6III       ,5.47,1.518
3.43,B8V         ,6.83,-0.002
2.6,K1/K2III    ,8.61,1.13
15.94,K5III       ,5.09,1.345
2.92,G3/G5III    ,8.36,0.88
3.83,F0V         ,9.82,0.348
14.9,G3IV/V      ,7.17,0.671
2.4,K2III       ,6.97,1.341
2.9,B9IV/V      ,7.28,0.04
2.58,K4III       ,7.47,1.533
3.02,G8III       ,8.93,1.171
3.82,G8III       ,8.38,1.008
3.11,K0III       ,8.48,1.096
-0.84,G2Ia:       ,10.84,1.007
5.89,F5V         ,9.61,0.469
4.52,A1V         ,5.28,0.021
1.46,Ap...       ,9.44,-0.008
14.51,K0III       ,5.04,1.11
3.86,K2III       ,7.45,1.293
4.55,A1V         ,8.4,0.327
3.61,G5IV/V      ,8.61,0.804
13.03,G1/G2V      ,8.69,0.586
5.93,G3/G5IV     ,8.35,0.824
1.82,K0III       ,8.45,0.946
7.62,F3III       ,7.4,0.431
-1.75,            ,10.17,0.04
10.65,F7V         ,8.8,0.518
1.7,K2III       ,8.55,1.282
7.55,F5V         ,8.72,0.443
5.76,K0/K1III    ,6.72,1.122
34.87,G1V         ,6.02,0.581
1.44,B9.5V       ,8.56,0.085
7.68,F8V         ,8.45,0.564
11.07,G8/K0V      ,8.38,0.852
11.51,G0V         ,9.28,0.587
2.71,F8IV/V      ,9.95,0.62
6.35,A9III/IV    ,8.7,0.311
6.32,F2          ,8.55,0.417
5.4,F3V         ,9.38,0.584
17.39,F6V         ,7.61,0.473
16,F0III       ,6.89,0.328
0.58,B9IV/V      ,8.5,0.206
5.25,F6V         ,9.09,0.468
7.95,F5V         ,7.77,0.476
2.36,K1/K2III    ,8.96,1.051
8.03,K2III       ,6.66,1.22
1.89,K3III       ,8.87,1.425
5.61,G5          ,9.33,0.6
5.19,            ,9.64,0.73
2.61,K0/K1III:   ,8.66,1.208
4.38,G8/K0III    ,8.75,1.24
2.61,K2III       ,7.96,1.333
6.99,G6/G8III    ,8.14,0.897
7.11,F7V         ,8.9,0.539
8.47,G2IV/V      ,9.33,0.63
4.95,F6/F7V      ,8.2,0.537
1.03,K2/K3III    ,7.6,1.302
3.46,A2mA5-A8    ,8.65,0.293
0.54,M0III       ,7.52,1.724
-1.68,B5V         ,10.24,-0.01
2.06,K0/K1III    ,8.52,1.274
3.92,Ap...       ,7.51,-0.055
5.19,K0III       ,7.24,1.071
3.7,A0V         ,7.71,0.07
2.33,K1/K2III    ,8.58,1.385
98.54,G5V         ,5.08,0.714
3.07,G8III       ,8.83,1.061
-1.34,G8III       ,10.84,1.1
11.61,G8IV        ,7.35,0.803
1.28,G5          ,9.33,0.842
12.37,A0V         ,5.86,-0.024
17.63,K0          ,10.11,0.843
9.5,F5          ,9.91,0.73
18.62,F8V+...     ,7.64,0.525
3.45,K1III       ,8.19,1.267
0.47,K0          ,11.29,0.98
4.4,G8IIICN...  ,7.93,0.946
12.37,K1V         ,10.05,0.853
2.47,K3III       ,7.49,1.533
18.23,F3IV/V      ,7.13,0.4
6.58,B9V         ,6.62,-0.056
5.08,A4:Vm       ,7.55,0.268
2.56,B9.5Vp...   ,9.72,0.076
22.86,G6V         ,8.76,0.743
5.23,F3V         ,9.24,0.386
2.73,K0III       ,8.99,1.11
0.34,K5III       ,8.29,1.57
3.08,A1V         ,8.77,0.117
3.75,K2III       ,8.17,1.197
4.84,K0III       ,7.49,1.035
2.09,K3III:      ,9.23,1.268
5.13,A2V         ,7.8,0.108
1.47,K0III       ,9.45,1.136
8.41,G5IV:       ,9.69,0.665
11.6,G2/5V + F0  ,7.61,0.678
4.11,G8/K0III    ,8.82,1.008
3.03,K2III       ,8.49,1.165
8.31,F6V         ,8.91,0.513
5.06,G8III       ,7.76,0.948
0.64,K2/K3III:   ,9.22,1.428
0.5,K0III       ,9.16,1.074
2.66,K0III       ,9.39,1.264
1.95,M1III       ,8.45,1.644
2.45,K0IIICN...  ,8.84,1.118
5.52,F8V         ,8.65,0.52
11.86,G5IV/V      ,9.56,0.681
2.07,B8V         ,7.42,-0.028
0.69,M6          ,9.01,1.432
11.64,G2/G3V      ,9.44,0.625
9.99,F2III/IV    ,7.53,0.345
1.61,K3III       ,7.91,1.495
2.61,K2/K3III:   ,8.75,1.672
0.06,K2/K3III+.. ,8.62,1.002
5.15,A8III/IV    ,8.04,0.259
6.63,A3/A4IV/V   ,7.52,0.145
8.12,F3V         ,8.74,0.485
12.65,G3V         ,9.29,0.644
7.01,A6/A7IV/V   ,6.62,0.265
6.78,K0          ,9.42,0.959
7.11,K1/K2III    ,7.25,1.116
1.58,F7IV        ,8.86,0.767
27.8,            ,10.51,1.138
5.81,K0III       ,8.62,1.007
9.09,F2/F3V      ,8.34,0.363
14.87,K0IV+...    ,8.93,0.737
2.97,A1V         ,10.07,0.09
6.53,F3IV/V      ,8.95,0.461
-0.15,O9.5V       ,10.17,-0.17
10.06,A0V         ,6.24,-0.004
6.67,F7/F8V      ,8.94,0.47
1.19,G5          ,12.02,0.84
2,K0III/IV    ,8.78,1.084
2.06,G3III       ,9.29,0.911
9.95,F6V         ,7.97,0.499
9.77,G5V:        ,8.98,0.686
6.52,G0IV        ,9.47,0.688
9.71,F0V         ,8.01,0.394
18.18,G6V         ,9.07,1.275
3.96,G8III       ,7.14,0.986
4.21,A9IV        ,8.46,0.332
2.95,K3II        ,6.08,1.683
1.24,M3III       ,8.17,1.682
-0.72,A1/A2V      ,10.17,0.2
5.73,A1V         ,8.4,0.222
2.69,K0III       ,9.29,1.146
1.25,F8          ,10.72,0.53
7.1,F5IV        ,8.34,0.479
-5.32,Gp          ,12.53,        
6.17,            ,10.06,0.488
9.9,F6/F7IV     ,7.64,0.538
16.01,G1V         ,8.49,0.628
7.56,F2IV        ,7.61,0.381
1.44,M5III       ,6.8,1.63
1.22,K3III       ,8.61,1.453
4.2,Ap...       ,7.92,-0.056
1.33,K2III       ,8.97,1.601
0.58,Npvar       ,7.77,2.1
1.92,K0III       ,8.7,0.961
4.43,G8III       ,7.69,1.01
1.68,K0III       ,9.37,1.008
9.97,G0V         ,8.54,0.642
4.21,F7V:        ,9.73,0.597
15.47,G8V         ,9.72,0.79
17.89,G5V         ,8.75,0.676
2.01,B9/B9.5IV   ,8.3,0.02
3.35,G8III       ,9.19,0.923
12.22,G5IV/V      ,9.11,0.66
12.16,G2V         ,8.81,0.5
2.98,G8III       ,8.77,1.08
-0.23,Fp          ,12.52,        
4.6,F6V         ,9.85,0.526
5.11,B9V         ,6.85,-0.064
4.27,A1/A2V      ,6.51,0.075
0.7,K0          ,10.01,1.05
1.58,K2III       ,7.7,1.318
6,G6V         ,10.09,0.754
5.5,F3/F5w...   ,9.03,0.348
8.52,F5V         ,8.56,0.48
6.55,F5V         ,9,0.494
1.66,R...        ,8.77,1.527
18.66,            ,10.71,        
9.61,F3/F5+...   ,8.36,0.687
3.85,F5w...      ,9.83,0.412
31.18,K5V         ,8.97,1.01
3.57,B9.5V       ,6.9,-0.026
9.56,F2V         ,8.38,0.402
3.36,K1III       ,8.09,1.144
4.96,K2III       ,6.81,1.28
17.79,G0V         ,8.3,0.579
17.95,G3/G5V      ,8.45,0.63
3.28,A0V         ,8.32,0.068
1.17,K2III       ,8.93,1.337
4.36,K0III       ,7.28,1.008
20.41,K0IV        ,6.68,0.987
3.56,B9.5V       ,7.91,0.035
12.07,G0V         ,8.35,0.63
22.02,F6/F7V      ,6.9,0.521
2.56,F2/F3V      ,9.6,0.413
5,F2III       ,7.48,0.415
3.29,A1V         ,8.13,0.038
2.51,K2II/III    ,7.96,1.176
15.24,G5V         ,8.53,0.647
3.4,B9          ,6.33,0.016
-2.72,A2IV/V      ,9.85,0.178
10.1,F8V         ,7.57,0.509
13.32,G0V         ,8.83,0.577
19.43,F8V         ,7.72,0.553
3.11,K0III       ,9.02,1.23
15.23,M2III       ,3.26,1.59
2.89,K3III       ,7.38,1.326
7.15,F7V         ,9.63,0.594
3.09,B9.5V       ,8.86,0.038
1.4,K0III       ,8.4,1.147
2.07,B9IV/V      ,9.05,0.171
2.92,B8/B9V      ,9.41,0.152
14.75,G1V         ,8.86,0.59
14.33,F8IV-V      ,7.59,0.511
14.64,F5V         ,7.83,0.441
3.54,G6III       ,6.44,1.198
9.89,F3V         ,7.97,0.425
5.54,A0V         ,7.93,0.086
2.45,M4/M5III    ,7.9,1.52
2.1,K0III       ,9.15,1.096
17.03,F7IV/V      ,7.72,0.529
3.38,B8V         ,8.43,0.006
4.12,A1m...      ,9.74,0.417
3.48,            ,10.73,0.272
7.52,F5V         ,9.54,0.489
2.52,K1III       ,9.03,1.082
7.29,A4V         ,8.03,0.204
8.09,Fp          ,12.32,        
6.47,F3V         ,8.91,0.389
10.03,F5V         ,8.62,0.45
3.07,K0III       ,8.79,1.087
9.51,F3V         ,8.21,0.398
9.77,G2V         ,9.18,0.602
5.63,A2V         ,7.83,0.37
1.31,K3III       ,8.55,1.438
2.22,K0II/III    ,8.59,1.134
13.48,F5V         ,8.94,0.512
11.88,F8V         ,8,0.652
4.1,K1III       ,8.01,1.218
7.02,F3III/IV    ,7.53,0.437
5.51,F2III       ,8.23,0.345
5.05,F2V         ,8.9,0.401
3.19,A1V         ,9.35,0.199
7.38,A2V         ,7.62,0.096
9.76,G6V         ,9.56,0.742
2.14,G8III       ,8.34,0.965
18.67,K0          ,9.83,0.876
1.78,K2III       ,8.19,1.332
3.59,A1V         ,8.1,0.153
4.87,Fm...       ,8.43,0.328
10.53,F7V         ,9.01,0.521
14.29,G0          ,8.53,0.574
16.67,G3V         ,8.82,0.614
7.53,F5V         ,8.77,0.509
5.39,K2III       ,8.33,1.172
45.17,G8V         ,7.07,0.755
8.48,K0IV        ,6.82,1.048
2.34,Gp          ,12.71,        
5.28,G0V         ,11.48,0.61
5.53,A1m...      ,8.94,0.343
4.16,G6/G8III    ,8.85,0.983
2.64,M1III       ,8.55,1.647
7.99,F6IV/V      ,9.13,0.521
19.35,M0          ,10.04,0.9
3.93,B8IV        ,7.68,-0.041
2.98,A2V         ,8,0.179
10.42,F5V         ,8.13,0.448
0.86,Ap...       ,9.25,0.318
61.67,F2IV        ,3.99,0.369
4.07,A2m...      ,7.5,0.142
0.92,B9.5V       ,8.51,0.053
1.66,B9V         ,8.81,0.135
5.21,F0III/IV    ,7.71,0.341
6.34,K1III       ,6.58,1.038
0.3,            ,12.09,-0.006
1.74,K2III       ,8.77,1.281
8.57,A2m...      ,7.53,0.241
3.32,K2III       ,7.73,1.4
12.46,G3/G5IV/V   ,8.53,0.765
2.36,            ,9.32,1.165
7.64,A2III/IV    ,7.42,0.157
12.89,            ,10.5,0.934
3.24,F0V         ,9.14,0.443
2.46,K2/K3III    ,8.83,1.306
12.75,F3V         ,7.23,0.413
3.72,B8/B9Vn     ,7.4,-0.051
3.9,K2III       ,7.82,1.304
13.46,K0IV/V      ,7.84,0.91
4.66,K0III       ,7.62,1.115
7.4,A2/A3V      ,6.18,0.071
2.06,K0III       ,8.7,1.072
3.29,B9V         ,7.95,0.038
3.35,B3III/IV    ,6.58,-0.046
7.56,G0          ,9.7,0.526
2.69,F0III/IV    ,8.04,0.342
9.16,K0III       ,5.88,0.992
16.35,F5IV-V      ,7.43,0.482
8.95,F3V         ,8.94,0.451
8.33,G2V         ,9.32,0.652
3.51,A3mA7-F0    ,9.19,0.419
6.51,F7V         ,8.99,0.561
3.75,K5III       ,7.52,1.76
