parallax,spect_type  ,vmag ,bv_color
5.01,F8          ,9.15,0.594
9.74,K3III       ,6.05,1.29
11.73,F6V         ,8.12,0.521
2.56,M2III       ,8.01,1.682
3.41,Ap...       ,8.3,-0.007
5.94,A2          ,8.21,0.372
3.51,K2/K3III    ,8.15,1.486
2.3,K2III       ,7.88,1.297
11.36,F2III/IV    ,7.47,0.409
7.28,F5V         ,9.16,0.464
4.82,A7/A8V      ,8.71,0.2
26.42,G8V         ,7.74,0.754
23.2,G3V         ,8.14,0.614
2.68,K1III       ,8.6,1.201
8.32,F7/F8V      ,8.65,0.527
5.59,A2/A3V      ,7.89,0.124
4.52,A2/A3IV     ,9.24,0.192
4.94,K1III       ,7.66,1.16
6.78,B9V         ,6.4,-0.005
3.74,K1III:      ,8.07,1.236
14.91,F4V         ,6.45,0.437
5.99,K0III       ,7.01,1.089
6.19,B9.5V       ,7.82,0.018
2.81,K2/K3III:   ,8.96,1.259
9.56,            ,10.27,0.615
12.09,            ,10.07,0.601
-3.12,            ,10.07,1.253
1.85,K2III       ,8.2,1.71
8.79,K0III       ,5.45,0.991
3.83,            ,10.21,0.326
3.49,B8/B9V      ,8.18,-0.006
1.94,G6III       ,8.82,1.019
2.98,G8III       ,8.92,1.081
8.93,G3V         ,8.66,0.663
3.17,K5/M0III:   ,8.23,1.556
3.47,G8III/IV    ,8.55,1.017
6.76,F3/F5V      ,9.53,0.463
3.09,A0IV/V      ,8.27,0.075
7.33,K0/K1III    ,6.59,1.157
4.92,A5IV/V      ,8.45,0.211
4.99,K1III       ,7.22,1.088
5.72,G8IIICN...  ,9.13,0.841
3.35,K0III       ,7.79,1.028
1.9,M...        ,9.26,1.092
3.88,A3m...      ,9.37,0.314
10.72,G1V         ,8.27,0.608
4,M0/M1III    ,5.78,1.71
12.07,F5V         ,7.64,0.475
4.7,K1III       ,8.26,1.172
4.76,F5V         ,8.72,0.462
2.34,G8III       ,9.21,1.145
5.15,F0IV        ,7.93,0.483
0.54,K0III       ,8.86,1.083
3.79,            ,9.2,0.564
4.89,K3III       ,6.42,1.405
1.91,M4/M5III    ,8.41,1.49
4.1,K2III       ,8.57,1.397
10.24,B9.5V       ,5.88,-0.031
9.35,A1V         ,6.18,-0.003
8.94,K0III       ,5.66,0.939
4.86,K0III       ,8.84,1.127
15.2,F6/F7V      ,7.76,0.501
2.33,M1III       ,6.97,1.628
3.59,K1III       ,8.77,1.152
13,G5IV        ,7.7,0.744
8.9,K0IV        ,8.05,0.894
7.66,F8V         ,8.48,0.557
1.29,K1III       ,8.91,1.158
4.29,M7III       ,8.73,1.276
15.32,G0V         ,8.67,0.594
4.91,K0III       ,7.14,1.134
2.57,M...        ,8.4,0.995
1.23,B9IV/V      ,9.95,0.181
5.57,K1III       ,7.86,1.022
12.09,G0V         ,9.02,0.548
9.17,A1V         ,6.19,0.1
6.85,K0/K1III    ,9.18,0.912
8.75,K0/K1III    ,6.78,0.982
15.27,K5          ,10.25,0.84
8.21,G3V         ,9.09,0.637
0.37,B1Iab:      ,7.2,-0.094
3.49,K0III       ,8.57,1.111
4.02,B9III       ,8.45,0.073
4.84,B9/B9.5V    ,7.53,0.006
